V1	EntrezID
SHARPIN	81858
UMAD1	729852
CR1	1378
CDK5	1020
HS3ST5	222537
CYFIP2	26999
PPARG	5468
SNX1	6642
NRBF2	29982
ADAMTS4	9507
CHRNE	1145
ZCWPW1	55063
TNF	7124
SNCA	6622
BRCA1	672
DPYSL2	1808
MIR766	768218
ANKH	56172
SCIMP	388325
F2	2147
MAPK14	1432
LILRB2	10288
SLC2A4	6517
BDNF	627
TSPAN14	81619
IL18	3606
SNAR-I	100170222
ABCA1	19
BCHE	590
AGRN	375790
MAOB	4129
TPP1	1200
CHRNB2	1141
IL1B	3553
BCKDK	10295
ALPK2	115701
IGF2	3481
CYP2D6	1565
DHCR24	1718
IDE	3416
SLC30A6	55676
MIR296	407022
PSEN2	5664
WDR12	55759
EPHB2	2048
CLU	1191
ADIPOQ	9370
FYN	2534
FOXF1	2294
LEP	3952
CRH	1392
MIR708	100126333
SLC6A4	6532
HAVCR2	84868
IDUA	3425
MAF	4094
PRDM7	11105
CALM1	801
RHOH	399
BLNK	29760
IGF1R	3480
IGH	3492
MSR1	4481
mTOR	2475
DYRK1A	1859
DAPK1	1612
RASGEF1C	255426
SLC30A4	7782
RTN3	10313
INPP5D	3635
MTHFR	4524
CASP3	836
Dyrk1A	1859
CHAT	1103
LRRK2	120892
CNTNAP2	26047
HFE	3077
ANK3	288
HLA-DRB1	3123
APOC1	341
GPR84	53831
APOE	348
KAT8	84148
RELN	5649
ECHDC3	79746
APP	351
A2M	2
EPHA1	2041
NDUFAF7	55471
LRP1	4035
LRP6	4040
MIR375	494324
UNC5C	8633
RyR2	6262
AMFR	267
ALOX5	240
ABCA7	10347
WWOX	51741
NOS3	4846
HLA-DRB5	3127
CLNK	116449
INS	3630
C3	718
TPI1	7167
IQCK	124152
MIR100	406892
CYP46A1	10858
PLEKHA1	59338
PICALM	8301
ENO1	2023
KLF16	83855
IGF2R	3482
RBCK1	10616
SIGLEC11	114132
GSAP	54103
SLC2A4RG	56731
GAPDHS	26330
ATP5F1A	498
IGF1	3479
MIR505	574508
IL6	3569
TGFB1	7040
SYK	6850
TFAM	7019
HMOX1	3162
TOMM40	10452
HDAC6	10013
HMGCR	3156
CNGA2	1260
CHRNA7	1139
PRNP	5621
GAB2	9846
MIR146A	406938
BAX	581
PTPRC	5788
SPPL2A	84888
MIR3622B	100500871
TF	7018
S100A9	6280
ICA1	3382
PLAU	5328
IL33	90865
TNIP1	10318
MIR4467	100616367
ACE	1636
SORCS1	114815
NFE2L2	4780
COX7C	1350
CELF1	10658
CSNK1E	1454
GSK3B	2932
CX3CR1	1524
ADAM10	102
CST3	1471
IL10	3586
MS4A4A	51338
TREML2	79865
CD33	945
FERMT2	10979
APH1B	83464
CTSH	1512
HESX1	8820
MPO	4353
VEGFA	7422
BCL2	596
PRKD3	23683
NECTIN2	5819
TPCN1	53373
NCSTN	23385
PTK2B	2185
AGER	177
IL-34	146433
CALHM1	255022
NLRP3	114548
SQSTM1	8878
SOD2	6648
TREM2	54209
BIN1	274
VSNL1	7447
CD2AP	23607
IKBKB	3551
EIF2S1	1965
CTSB	1508
MEF2C	4208
SMPD3	55512
PSEN1	5663
SUMO1	7341
Ccr2	729230
BACE1	23621
Cnga2	1260
WDR81	124997
NPY	4852
CASS4	57091
PCDH11X	27328
SORT1	6272
SORL1	6653
NUAK1	9891
ACHE	43
MME	4311
PTGS2	5743
MS4A6A	64231
PLCG2	5336
PYY	5697
ABI3	51225
PGRMC1	10857
NCK2	8440
SLC24A4	123041
CSNK1D	1453
SOD1	6647
MAPT	4137
TYROBP	7305
PTGS1	5742
NME8	51314
JAZF1	221895
SEC61G	23480
GRN	2896
MYO15A	51168
BECN1	8678
GRM5	2915
SERPINA3	12
PPP2CA	5515
NTN5	126147
SHARPIN	81858
INSR	3643
ADAMTS1	9510
DOC2A	8448
TMEM106B	54664
ARC	23237
ADAM17	6868
ESR1	2099
